NS_FTTH;AGENCIA;EMPLAZAMIENTO;FABRICANTE;MODELO;HOSTNAME;IPADDRESS;RACK;SHELF;SLOT;SUBSLOT;PORT;PORT_TYPE;ID_FIBRA;ESTADO_OPERACIONAL;ESTADO_ADMINISTRATIVO;ESTADO_USO;ESTADO_GENERAL;GESTIONADO;ZONA_COBERTURA;INF_ADICIONAL;INF_COMERCIAL;AGREGADOR_HOSTNAME;AGREGADOR_MODELO;AGREGADOR_IPADDRESS;AGREGADOR_RACK;AGREGADOR_SHELF;AGREGADOR_SLOT;AGREGADOR_SUBSLOT;AGREGADOR_PUERTO;ID_PUERTO;ACCESS_ID
1000009357;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;21;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009357
7,35E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;22;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;7,35E+12
1000014147;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;23;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014147
4,60E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;26;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,60E+12
1000014166;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;27;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014166
3,15E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;30;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;3,15E+12
7,59E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;31;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;7,59E+12
1000009303;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;33;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009303
1000009274;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;35;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009274
1000009312;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;36;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009312
1000014167;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;37;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014167
